tipo_colheita?nome?tipo_recurso?custo?moeda_custo?xp?ganho_base?moeda_ganho?tempo?ganho_por_min?xp_por_min?dinheiros_por_diamante?tipo_ganho
Animals?Abacot Ranger Duck?Eggs?2500,00?dinheiro?12,00?100,00?dinheiro?33,00?3,03?0,36?0,00?dinheiro_dinheiro
Animals?Akhal-Teke Horse?Fabric?12250,00?dinheiro?156,00?5501,56?dinheiro?1080,00?5,09?0,14?0,00?dinheiro_dinheiro
Animals?Albino Donkey?Fabric?15000,00?dinheiro?34,00?653,40?dinheiro?90,00?7,26?0,38?0,00?dinheiro_dinheiro
Animals?Alpine Goat?Milk?4200,00?dinheiro?23,00?352,30?dinheiro?80,00?4,40?0,29?0,00?dinheiro_dinheiro
Animals?American Paint Horse?Fabric?50000,00?dinheiro?86,00?4008,60?dinheiro?240,00?16,70?0,36?0,00?dinheiro_dinheiro
Animals?Andalusian Donkey?Fabric?7500,00?dinheiro?27,00?302,70?dinheiro?90,00?3,36?0,30?0,00?dinheiro_dinheiro
Animals?Appaloosa Horse?Fabric?15000,00?dinheiro?108,00?3601,08?dinheiro?540,00?6,67?0,20?0,00?dinheiro_dinheiro
Animals?Arabian Horse?Fabric?20000,00?dinheiro?211,00?5002,11?dinheiro?1440,00?3,47?0,15?0,00?dinheiro_dinheiro
Animals?Arcane Horse?Gold Nugget?3500,00?dinheiro?20,00?-498,00?diamante?240,00?0,00?0,08?-7,03?dinheiro_diamante
Animals?Australian Brown Goat?Milk?7250,00?dinheiro?56,00?1005,60?dinheiro?240,00?4,19?0,23?0,00?dinheiro_dinheiro
Animals?Aylesbury Duck?Eggs?1000,00?dinheiro?10,00?60,00?dinheiro?40,00?1,50?0,25?0,00?dinheiro_dinheiro
Animals?Ayrshire Cow?Milk?24000,00?dinheiro?49,00?1004,90?dinheiro?120,00?8,37?0,41?0,00?dinheiro_dinheiro
Animals?Barnevelder Chicken?Eggs?15500,00?dinheiro?29,00?802,90?dinheiro?60,00?13,38?0,48?0,00?dinheiro_dinheiro
Animals?Belgian Fawn Goat?Milk?22500,00?dinheiro?78,00?1707,80?dinheiro?270,00?6,33?0,29?0,00?dinheiro_dinheiro
Animals?Belted Cow?Milk?14000,00?dinheiro?42,00?704,20?dinheiro?120,00?5,87?0,35?0,00?dinheiro_dinheiro
Animals?Bentheim Pig?Mushrooms?9000,00?dinheiro?39,00?753,90?dinheiro?120,00?6,28?0,33?0,00?dinheiro_dinheiro
Animals?Berkshire Pig?Mushrooms?5800,00?dinheiro?33,00?453,30?dinheiro?120,00?3,78?0,28?0,00?dinheiro_dinheiro
Animals?Black Spanish Turkey?Eggs?6250,00?dinheiro?37,00?503,70?dinheiro?135,00?3,73?0,27?0,00?dinheiro_dinheiro
Animals?Black Welsh Sheep?Fabric?8500,00?dinheiro?58,00?755,80?dinheiro?240,00?3,15?0,24?0,00?dinheiro_dinheiro
Animals?Blue Slate Turkey?Eggs?32500,00?dinheiro?56,00?1505,60?dinheiro?135,00?11,15?0,41?0,00?dinheiro_dinheiro
Animals?Bourbon Red Turkey?Eggs?12500,00?dinheiro?43,00?804,30?dinheiro?135,00?5,96?0,32?0,00?dinheiro_dinheiro
Animals?Duckling?Eggs?2000,00?dinheiro?8,00?80,00?dinheiro?20,00?4,00?0,40?0,00?dinheiro_dinheiro
Animals?Dutch Rabbit?Vegetables?4500,00?dinheiro?32,00?353,20?dinheiro?135,00?2,62?0,24?0,00?dinheiro_dinheiro
Animals?Easter Rabbit?Eggs?1750,00?dinheiro?12,00?-599,00?diamante?60,00?0,00?0,20?-2,92?dinheiro_diamante
Animals?Emu?Eggs?37000,00?dinheiro?82,00?3008,20?dinheiro?240,00?12,53?0,34?0,00?dinheiro_dinheiro
Animals?Fallow Deer?Milk?125000,00?dinheiro?96,00?509,60?dinheiro?180,00?2,83?0,53?0,00?dinheiro_dinheiro
Animals?Flaming Horse?Fabric?2500,00?dinheiro?20,00?-498,00?diamante?120,00?0,00?0,17?-5,02?dinheiro_diamante
Animals?Friesian Horse?Fabric?35000,00?dinheiro?188,00?7501,88?dinheiro?960,00?7,81?0,20?0,00?dinheiro_dinheiro
Animals?Frost Horse?Fabric?3000,00?dinheiro?20,00?-746,00?diamante?180,00?0,00?0,11?-4,02?dinheiro_diamante
Animals?Hampshire Pig?Mushrooms?2800,00?dinheiro?27,00?252,70?dinheiro?120,00?2,11?0,23?0,00?dinheiro_dinheiro
Animals?Hampshire Sheep?Fabric?16000,00?dinheiro?67,00?1806,70?dinheiro?240,00?7,53?0,28?0,00?dinheiro_dinheiro
Animals?Harlequin Rabbit?Vegetables?32000,00?dinheiro?47,00?1504,70?dinheiro?100,00?15,05?0,47?0,00?dinheiro_dinheiro
Animals?Havana Rabbit?Vegetables?7000,00?dinheiro?41,00?754,10?dinheiro?150,00?5,03?0,27?0,00?dinheiro_dinheiro
Animals?Hereford Pig?Mushrooms?14500,00?dinheiro?44,00?1254,40?dinheiro?120,00?10,45?0,37?0,00?dinheiro_dinheiro
Animals?Holstein Cow?Milk?6500,00?dinheiro?26,00?282,60?dinheiro?75,00?3,77?0,35?0,00?dinheiro_dinheiro
Animals?Holsteiner Horse?Fabric?7500,00?dinheiro?87,00?1608,70?dinheiro?480,00?3,35?0,18?0,00?dinheiro_dinheiro
Animals?Huacaya Alpaca?Fabric?5000,00?dinheiro?39,00?403,90?dinheiro?180,00?2,24?0,22?0,00?dinheiro_dinheiro
Animals?Jersey Cow?Milk?2250,00?dinheiro?21,00?132,10?dinheiro?90,00?1,47?0,23?0,00?dinheiro_dinheiro
Animals?Jersey Giant Chicken?Eggs?7000,00?dinheiro?24,00?352,40?dinheiro?60,00?5,87?0,40?0,00?dinheiro_dinheiro
Animals?Landrace Pig?Mushrooms?600,00?dinheiro?8,00?50,00?dinheiro?36,00?1,39?0,22?0,00?dinheiro_dinheiro
Animals?Leghorn Chicken?Eggs?250,00?dinheiro?5,00?25,00?dinheiro?30,00?0,83?0,17?0,00?dinheiro_dinheiro
Animals?Mammoth Jack Donkey?Fabric?55000,00?dinheiro?84,00?3008,40?dinheiro?225,00?13,37?0,37?0,00?dinheiro_dinheiro
Animals?Merino Sheep?Fabric?3000,00?dinheiro?42,00?284,20?dinheiro?240,00?1,18?0,17?0,00?dinheiro_dinheiro
Animals?Mini Rex Rabbit?Vegetables?1500,00?dinheiro?34,00?303,40?dinheiro?240,00?1,26?0,14?0,00?dinheiro_dinheiro
Animals?Miranda Donkey?Fabric?30000,00?dinheiro?51,00?1005,10?dinheiro?120,00?8,38?0,42?0,00?dinheiro_dinheiro
Animals?Muscovy Duck?Eggs?65000,00?dinheiro?60,00?2256,00?dinheiro?105,00?21,49?0,57?0,00?dinheiro_dinheiro
Animals?New Hampshire Chicken?Eggs?1300,00?dinheiro?14,00?80,00?dinheiro?60,00?1,33?0,23?0,00?dinheiro_dinheiro
Animals?Nigerian Dwarf Goat?Milk?37500,00?dinheiro?66,00?2006,60?dinheiro?160,00?12,54?0,41?0,00?dinheiro_dinheiro
Animals?Ostrich?Eggs?18000,00?dinheiro?71,00?2007,10?dinheiro?240,00?8,36?0,30?0,00?dinheiro_dinheiro
Animals?Peacock??67500,00?dinheiro?56,00?2505,60?dinheiro?135,00?18,56?0,41?0,00?dinheiro_dinheiro
Animals?Plymouth Rock Chicken?Eggs?3200,00?dinheiro?19,00?281,90?dinheiro?60,00?4,70?0,32?0,00?dinheiro_dinheiro
Animals?Provence Donkey?Fabric?10000,00?dinheiro?38,00?603,80?dinheiro?120,00?5,03?0,32?0,00?dinheiro_dinheiro
Animals?Red Deer?Milk?72500,00?dinheiro?88,00?2508,80?dinheiro?180,00?13,94?0,49?0,00?dinheiro_dinheiro
Animals?Reindeer?Milk?150000,00?dinheiro?102,00?4001,02?dinheiro?180,00?22,23?0,57?0,00?dinheiro_dinheiro
Animals?Rhea?Eggs?70000,00?dinheiro?102,00?4001,02?dinheiro?240,00?16,67?0,42?0,00?dinheiro_dinheiro
Animals?Roe Deer?Milk?100000,00?dinheiro?92,00?3009,20?dinheiro?180,00?16,72?0,51?0,00?dinheiro_dinheiro
Animals?Romanov Sheep?Fabric?25000,00?dinheiro?75,00?1507,50?dinheiro?240,00?6,28?0,31?0,00?dinheiro_dinheiro
Animals?Royal Palm Turkey?Eggs?17750,00?dinheiro?50,00?1255,00?dinheiro?135,00?9,30?0,37?0,00?dinheiro_dinheiro
Animals?Saanen Goat?Milk?14000,00?dinheiro?36,00?753,60?dinheiro?90,00?8,37?0,40?0,00?dinheiro_dinheiro
Animals?Silver Rabbit?Vegetables?17500,00?dinheiro?54,00?1755,40?dinheiro?160,00?10,97?0,34?0,00?dinheiro_dinheiro
Animals?Suri Alpaca?Fabric?10000,00?dinheiro?39,00?653,90?dinheiro?120,00?5,45?0,33?0,00?dinheiro_dinheiro
Animals?Texel Sheep?Fabric?58000,00?dinheiro?93,00?3009,30?dinheiro?240,00?12,54?0,39?0,00?dinheiro_dinheiro
Animals?Thrianta Rabbit?Vegetables?12000,00?dinheiro?59,00?1205,90?dinheiro?225,00?5,36?0,26?0,00?dinheiro_dinheiro
Animals?Unicorn?Fabric?2000,00?dinheiro?20,00?-998,00?diamante?120,00?0,00?0,17?-2,00?dinheiro_diamante
Crops?Agave?Vegetables?400,00?dinheiro?48,00?650,00?dinheiro?600,00?0,40?0,08?0,00?dinheiro_dinheiro
Crops?Aloe Vera?Vegetables?150,00?dinheiro?18,00?220,00?dinheiro?240,00?0,25?0,07?0,00?dinheiro_dinheiro
Crops?Artichoke?Vegetables?7000,00?dinheiro?80,00?8200,00?dinheiro?420,00?2,83?0,19?0,00?dinheiro_dinheiro
Crops?Asparagus?Vegetables?840,00?dinheiro?13,00?900,00?dinheiro?60,00?0,83?0,22?0,00?dinheiro_dinheiro
Crops?Azoychka Tomato?Vegetables?950,00?dinheiro?35,00?1380,00?dinheiro?300,00?1,40?0,12?0,00?dinheiro_dinheiro
Crops?Barley?Cereals?7500,00?dinheiro?145,00?9000,00?dinheiro?1440,00?1,03?0,10?0,00?dinheiro_dinheiro
Crops?Beans?Vegetables?200,00?dinheiro?7,00?240,00?dinheiro?30,00?1,00?0,23?0,00?dinheiro_dinheiro
Crops?Beefsteak Tomato?Vegetables?1000,00?dinheiro?36,00?1200,00?dinheiro?360,00?0,53?0,10?0,00?dinheiro_dinheiro
Crops?Beet?Vegetables?800,00?dinheiro?40,00?1100,00?dinheiro?360,00?0,81?0,11?0,00?dinheiro_dinheiro
Crops?Black Goji Berry?Grapes?2250,00?dinheiro?10,00?2400,00?dinheiro?25,00?5,60?0,40?0,00?dinheiro_dinheiro
Crops?Black Peppercorn?Spice?500,00?dinheiro?25,00?1,00?diamante?240,00?0,00?0,10?510,00?dinheiro_diamante
Crops?Blackberry?Grapes?220,00?dinheiro?20,00?280,00?dinheiro?240,00?0,21?0,08?0,00?dinheiro_dinheiro
Crops?Blackcurrant?Grapes?2500,00?dinheiro?45,00?2950,00?dinheiro?320,00?1,38?0,14?0,00?dinheiro_dinheiro
Crops?Blue Grape?Grapes?50,00?dinheiro?16,00?100,00?dinheiro?360,00?0,11?0,04?0,00?dinheiro_dinheiro
Crops?Broccoli?Vegetables?5000,00?dinheiro?20,00?5250,00?dinheiro?60,00?4,00?0,33?0,00?dinheiro_dinheiro
Crops?Cabbage?Vegetables?100,00?dinheiro?5,00?140,00?dinheiro?45,00?0,67?0,11?0,00?dinheiro_dinheiro
Crops?Candy Cane?No Resource?350,00?dinheiro?13,00?1,00?diamante?180,00?0,00?0,07?360,00?dinheiro_diamante
Crops?Carrot?Vegetables?35,00?dinheiro?2,00?60,00?dinheiro?20,00?0,75?0,10?0,00?dinheiro_dinheiro
Crops?Cauliflower?Vegetables?260,00?dinheiro?9,00?310,00?dinheiro?45,00?0,89?0,20?0,00?dinheiro_dinheiro
Crops?Celery?Vegetables?600,00?dinheiro?55,00?900,00?dinheiro?900,00?0,32?0,06?0,00?dinheiro_dinheiro
